,ds,yhat_lower,yhat_upper,yhat,y
841,2/6/50,-0.282580516,0.263180217,-0.005140301,-0.2389
842,3/6/50,-0.255916362,0.27160987,0.01071638,-0.0868
843,4/6/50,-0.257094766,0.273092305,0.005634166,-0.1706
844,5/6/50,-0.270414062,0.226549239,0.00190273,-0.0536
845,6/6/50,-0.246967115,0.259277208,0.005859852,-0.0559
846,7/6/50,-0.250853449,0.277198058,0.005017901,-0.1053
847,8/6/50,-0.264199927,0.267473651,0.005571182,-0.1382
848,9/6/50,-0.243926912,0.264669253,0.004627969,-0.1049
849,10/6/50,-0.251346341,0.255735409,0.006133595,-0.1661
850,11/6/50,-0.262044883,0.26170253,0.005456062,-0.3605
851,12/6/50,-0.264212694,0.253257677,-0.002252572,-0.181
852,1/6/51,-0.279057013,0.248898823,-0.001489512,-0.2903
853,2/6/51,-0.249622506,0.248456981,-0.000236777,-0.4101
854,3/6/51,-0.25134219,0.275468666,0.010896188,-0.1689
855,4/6/51,-0.247271888,0.25884281,0.004130385,-0.0877
856,5/6/51,-0.260751158,0.255491674,-0.000603897,0.0569
857,6/6/51,-0.225111755,0.277610548,0.008398288,0.0381
858,7/6/51,-0.265187093,0.259516696,0.00700693,0.1101
859,8/6/51,-0.248583365,0.26872102,0.007817034,0.113
860,9/6/51,-0.253773865,0.236117181,0.002904407,0.1322
861,10/6/51,-0.236960848,0.273334571,0.007787119,0.1081
862,11/6/51,-0.236269219,0.26717896,0.009215128,0.026
863,12/6/51,-0.280007879,0.237768307,-0.010295097,0.2148
864,1/6/52,-0.258865948,0.265862256,0.002511126,0.152
865,2/6/52,-0.249478101,0.275366007,0.004660471,0.0921
866,3/6/52,-0.247470217,0.295533354,0.012624692,-0.048
867,4/6/52,-0.229362072,0.269176336,0.011069481,0.0666
868,5/6/52,-0.238214177,0.259888041,0.009714783,0.034
869,6/6/52,-0.255288165,0.270290483,0.003637679,0.0396
870,7/6/52,-0.24241813,0.265511717,0.003662292,0.0735
871,8/6/52,-0.260451278,0.268449394,0.003528242,0.0647
872,9/6/52,-0.238476954,0.26545278,0.010616712,0.0653
873,10/6/52,-0.260568789,0.258382457,0.005515116,-0.0366
874,11/6/52,-0.270107609,0.263412544,0.000217857,-0.1975
875,12/6/52,-0.260247905,0.285730219,0.016532908,-0.008
876,1/6/53,-0.260094097,0.249880919,-0.006353729,0.1037
877,2/6/53,-0.27708963,0.270116678,-0.007441433,0.1534
878,3/6/53,-0.264602594,0.274001451,0.013027576,0.1539
879,4/6/53,-0.266402144,0.243351678,0.009683389,0.1873
880,5/6/53,-0.23168816,0.261064526,0.007078648,0.144
881,6/6/53,-0.251557905,0.241854552,0.006007503,0.124
882,7/6/53,-0.269948953,0.274054896,0.005637168,0.0662
883,8/6/53,-0.260423536,0.257008655,0.005875975,0.0812
884,9/6/53,-0.230506465,0.269800884,0.008934367,0.0632
885,10/6/53,-0.265482999,0.266423317,0.007110884,0.0723
886,11/6/53,-0.27309964,0.287217323,0.004191473,-0.0621
887,12/6/53,-0.222553767,0.255617188,0.008427966,0.0555
888,1/6/54,-0.265762414,0.246541763,-0.002710303,-0.2352
889,2/6/54,-0.247935179,0.248740998,-0.002537785,-0.0865
